1.000E+01	3.644E-15
9.900E+00	4.991E-15
9.800E+00	6.433E-15
9.700E+00	7.895E-15
9.600E+00	9.278E-15
9.500E+00	1.060E-14
9.400E+00	1.205E-14
9.300E+00	1.371E-14
9.200E+00	1.561E-14
9.100E+00	1.765E-14
9.000E+00	1.981E-14
8.900E+00	2.206E-14
8.800E+00	2.439E-14
8.700E+00	2.683E-14
8.600E+00	2.936E-14
8.500E+00	3.300E-14
8.400E+00	3.722E-14
8.300E+00	4.457E-14
8.200E+00	5.441E-14
8.100E+00	6.458E-14
8.000E+00	7.612E-14
7.900E+00	8.842E-14
7.800E+00	1.009E-13
7.700E+00	1.136E-13
7.600E+00	1.263E-13
7.500E+00	1.400E-13
7.400E+00	1.578E-13
7.300E+00	1.780E-13
7.200E+00	1.994E-13
7.100E+00	2.209E-13
7.000E+00	2.424E-13
6.900E+00	2.638E-13
6.800E+00	2.853E-13
6.700E+00	3.093E-13
6.600E+00	3.365E-13
6.500E+00	3.655E-13
6.400E+00	3.951E-13
6.300E+00	4.237E-13
6.200E+00	4.497E-13
6.100E+00	4.805E-13
6.000E+00	5.105E-13
5.900E+00	5.386E-13
5.800E+00	5.786E-13
5.700E+00	6.318E-13
5.600E+00	6.924E-13
5.500E+00	7.555E-13
5.400E+00	8.270E-13
5.300E+00	9.179E-13
5.200E+00	1.015E-12
5.100E+00	1.117E-12
5.000E+00	1.212E-12
4.900E+00	1.314E-12
4.800E+00	1.423E-12
4.700E+00	1.541E-12
4.600E+00	1.704E-12
4.500E+00	1.893E-12
4.400E+00	2.093E-12
4.300E+00	2.272E-12
4.200E+00	2.500E-12
4.100E+00	2.727E-12
4.000E+00	2.966E-12
3.900E+00	3.252E-12
3.800E+00	3.602E-12
3.700E+00	4.004E-12
3.600E+00	4.441E-12
3.500E+00	4.922E-12
3.400E+00	5.436E-12
3.300E+00	5.954E-12
3.200E+00	6.475E-12
3.100E+00	7.049E-12
3.000E+00	7.702E-12
2.900E+00	8.378E-12
2.800E+00	9.029E-12
2.700E+00	9.575E-12
2.600E+00	1.003E-11
2.500E+00	1.053E-11
2.400E+00	1.108E-11
2.300E+00	1.156E-11
2.200E+00	1.207E-11
2.100E+00	1.264E-11
2.000E+00	1.313E-11
1.900E+00	1.359E-11
1.800E+00	1.409E-11
1.700E+00	1.465E-11
1.600E+00	1.528E-11
1.500E+00	1.577E-11
1.400E+00	1.633E-11
1.300E+00	1.697E-11
1.200E+00	1.764E-11
1.100E+00	1.817E-11
1.000E+00	1.855E-11
9.000E-01	1.888E-11
8.000E-01	1.911E-11
7.000E-01	1.893E-11
6.000E-01	1.826E-11
5.000E-01	1.705E-11
4.000E-01	1.526E-11
3.000E-01	1.273E-11
2.000E-01	9.585E-12
1.000E-01	5.053E-12
